,tweet_id,text,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
1116,446764578706579456l,"20/03 O Ibovespa fechou em alta de +1,53%, aos 47.278 pts. Destaques: RSID3 +5,29% e BBAS3 +4,84% e ELET3 +4,33%. http://t.co/j9yUOf2ipY",1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
1117,443401965612322816l,#MRFG3 - Marfrig estuda abrir capital de subsidiárias no exterior neste ano - http://t.co/FP8QGNti2J,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,0.667,3
1118,453189269096370177l,"Rastreamento ações-Gráfico diário-12h. Analise se romper:CPFE3 19,03 EVEN3 7,83 FIBR3 25,78 HGTX3 26,56 IMOB 673,11 INDX 11598,50 JBSS3 8,07",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,1.0,1.0,1.0,3
1119,446999071245758464l,IBOPE e gringaiada derrubando PETR4. Acho q já era esperado.,0,1,0,0,-2,-2,0,0,-1,0.5,0.5,0.25,0.75,4
1120,449613428878217216l,"#ELET3 - Eletrobras vai captar cerca de R$ 4 bilhões neste ano, diz presidente - http://t.co/Mvatua7YRb",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1121,471245492861403137l,#OIBR4 (mensagem: 956643)  http://t.co/VD2ApxqWqR,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
1122,472426513665908737l,Ativo c/ vol Financeiro Superior à sua MM21-14h:  RADL3 SULA11 TERI3 VAGR3 VALE5,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1124,446099653306884096l,@Igorcrp  Meus clientes estão entrando no LS de PETR4 x PETR3 - call do Credit!,0,0,1,0,-2,-2,0,0,-1,0.667,1.0,0.333,1.0,3
1126,454629008538603520l,"tá explicado movimento da #PETR4 hoje. PF pegou peixe grande, implicação grande no 'guvêrno'. E minhas #INDJ14 ó… nada de conseguir vender.",0,1,0,1,0,0,0,0,0,0.667,1.0,0.667,0.667,3
1127,442889290151104512l,"Na #KROT3 confirmou uma Onda 5 de topo na máx de 06/03/14 e temos alvos em 41,00 , 36,00 e 29,00 e 23,00 http://t.co/6iE7dumt4f",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1128,456224557213683712l,Segue o gráfico atualizado da #OIBR4 pelas #Ondasdeelliot : http://t.co/UdxRKAHkMx,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1129,449256028455325696l,"#Intraday Maiores altas do #Ibov: ELET3 +10,0% LLXL3 +8,7% RSID3 +7,2% PETR3 +7,2% BBAS3 +6,9% PETR4 +6,9%",0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
1131,452599628761157632l,"@MaliaESPN Petr4 tá ótima.. Contra fatos ñ há argumentos.. Q o comunismo vá para onde é bem visto, Lúcifer tá de braços abertos",0,1,1,0,-2,-2,1,0,-1,0.667,0.667,0.0,0.667,3
1133,468946104705646592l,"#PETR4 fêz na máx de 07/05 uma Onda 3 de topo tem obj de Onda 4 em 16,40 e 15,70 com alvo de Onda 5 para 20,15 22,50 http://t.co/zlP5kPvvul",0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,0.667,3
1135,446481019789533187l,#ToDeOlho na #HYPE3: rompeu uma LTB (mas com volume abaixo da média). http://t.co/Vips97gaYS,0,0,0,1,-2,-2,0,1,-1,0.667,0.667,0.0,0.667,3
1136,441918272142053376l,Análise e dados da Vale (VALE5) - Confira http://t.co/VO9t23O3BI,1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
1137,444460245927342080l,"#usim5 RT @Live_Trade: @CaciqueInvest sim, mas já abriu no Obj rsrsr espero PB",0,0,0,0,-2,-2,0,0,-1,0.5,0.5,0.25,0.75,4
1138,446975948576260096l,"RT @Jgrafista11: Nos 60 min da #PETR4 podemos ter feito uma Onda 5 de topo , uma C de Topo e abaixo de 14,45 alvos 13,75 13,55 e 13,40 http…",1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1139,456874763085176832l,"Ações de estatais sobem forte com possível nova queda de DILMA: Petr3, 4,97%, Petr4, +4,68%, Bbas3, +5,01%, Elet3, +3,90% e Elet6, +2,84%",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
1141,445557790225235968l,PaiRico em Ação is out! http://t.co/faxgS1ZX6y Stories via @clickinv_VALE5 @NuvensIchimoku,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1142,448214927480590336l,"#PETR4 o mercado não está ligando para esta coisa de Refinaria em Pasadena, alguns poderiam pensar. A verdade:... http://t.co/lbwP8WDguV",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
1143,444496916643315712l,#BOVESPA #CIEL3 Cielo realiza assembleia geral ordinária e extraordinária dia 31 de março às 10:00h. http://t.co/6Mj7wclH1w,-2,-2,-2,-2,0,0,-2,-2,-1,0.0,0.0,0.5,0.0,4
1144,451684857916456960l,$EMBR3 - Embraer (embr-nm) - Demonstracoes Financeiras De 31/12/2013 (cons) http://t.co/PW1Romb4Ez,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
1146,452077221977808896l,#goll4 vou tirar da frente pra não enfartar,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
1147,444167405984833537l,"Ibovespa vai mesmo nos 44.000 pontos 'for while'. Daqui a 200 anos qdo o PT sair do poder ela deve subir, ibov petr4 vale5",0,1,0,1,1,0,1,0,0,0.667,0.667,0.667,0.667,3
1150,452135225947340800l,#ABEV3 - Ambev vai manter preço da cerveja sem aumento até o fim da Copa - http://t.co/uQvcMid5PG,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
1151,459818537717334016l,PETROBRAS CHILE - Tribunal ordena a auditoria ambiental SMA para fazer instalações da Petrobras em Iquique http://t.co/i5QTbgneoW,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
1152,444196882404085760l,"Desculpem, Alll3 na pedra....RT @Live_Trade: llx na pedra, rompeu, comprei",1,0,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1153,463672631741648896l,RT @Live_Trade: #oibr4 xuxu da 'malmita' rsrsrrs,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1154,467052372628635648l,"RT @joanarauhl: eu adoro a minha stora de história, mesmo que ela seja bué má ás vezes ela tem uma personalidade mesmo fixe",0,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
1157,458629777935826944l,"RT @ferrisss: PETR4: Estatal tenta separar em duas partes o Campo d Lula (Bacia de santos), mas a Agência vê estratégia d empresa p pagar m…",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1158,443744322677407744l,"pro buraco! kk é mais fundo. RT @Live_Trade: #petr4 no limite ....em cima do muro, vamos empurrar p/ qual lado?",0,1,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1159,441257030935121920l,"KKKK
Na mosca!
RT @picapautrader: O negócio é investir em PUTs de boas empresas!! #VALE5 #PETR4",1,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
1161,463673433398988802l,"@CaciqueInvest kkkk aí piora, o pior que tive sinal nela assim como oibr4 e hrtp3 e desconsiderei...sou um manezão mesmo",0,1,0,1,-2,-2,1,0,-1,0.667,1.0,0.0,0.667,3
1162,453233830112268288l,"Rastreamento ações-Gráfico diári-15h. Analise se romper:CPFE3 19,03 EVEN3 7,83 FIBR3 25,78 HGTX3 26,56 HYPE3 16,58 IMOB 673,11 INDX 11598,50",-2,-2,0,0,-1,-1,-1,-1,-1,0.333,0.667,0.667,0.667,3
1164,453671082981990400l,GGBR4 – Gráfico – 08-04-2014 http://t.co/bzQ26vWu19,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1165,448178138770841601l,"É só surgirem os podres da #PETR4 que a ação sobe. Alta de 2,60% a R$ 14,40 (PN).",0,1,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
1167,453091782231068672l,RT @alexandradd25: Este tempo está lindoooo,1,0,1,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
1168,447917775390920704l,"Ôrrrra, finarmenti, hein!! | FHC muda discurso e diz que apoia CPI para investigar #PETR4 #Pasadena http://t.co/33WJ6NBvWW via @estadao",1,0,1,0,0,1,0,0,0,0.667,1.0,0.667,0.667,3
1169,461552788808683520l,#PCAR4 - Lucro do Pão de Açúcar cresce a R$ 338 mi no 1º trimestre - http://t.co/xjVYChNZxl,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
1170,442039826452611072l,"BBDC4 - Saída 

 http://t.co/2A52w3VD0y",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1171,470980852147826688l,"Rastreamento ações-Gráfico diário-14h. Analise se romper: TIMP3 12,13",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1173,448830551643152384l,Só uma observação de quem tá comprado em ITUB4 e BBDC4: rebaixa nóis seus tonto!,0,1,0,1,0,1,1,0,0,1.0,0.667,0.667,0.667,3
1175,451362882778050560l,"Rastreamento ações-Gráfico diário-11h. Analise se romper: CPFE3 18,73 ECOR3 13,70 HYPE3 16,31 INDX 11479,53 IVBX 7026,11 LIGT3 18,92",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1176,449177298932359169l,$BBAS3 - Brasil (bbas-nm) - Demonstracoes Financeiras De 31/12/2013 (cons) http://t.co/HLbmo0yDAb,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1177,446621745038909440l,"#PETR4 disparou!!! foi do FUNDO de 12,57 para 13,34!!! :P :P :P BELA DISPARADA!!!",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
1178,453998678693675010l,"(-) USIM5, USIM3 e CSNA3: CADE DECIDE QUE CSN TERÁ DE REDUZIR PARTICIPAÇÃO NA USIMINAS
O Conselho Administrativo... http://t.co/4tPso1oeiU",0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
1179,468780778634375168l,$EMBR3 - Embraer (embr-nm) - Inaugura Hangar De Montagem Final Do Kc-390 http://t.co/R2sOUsExmg,-2,-2,0,0,1,0,0,0,-1,0.333,0.667,1.0,1.0,3
1181,460832924657790976l,hahahahaha ibovespa e #PETR4  #PETR3  nao se ligarm para a investigacao da Petrobras no Chile. O tribunal mandou voltar a investigacao,-2,-2,1,0,0,1,0,0,-1,0.333,0.667,0.667,0.667,3
1184,464747373030547456l,$ESTC3 - Estacio Part (estc-nm) - Demonstracoes Financeiras De 31/03/2014 (cons) http://t.co/Ne3NwkBNaX,0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,0.667,3
1185,442013712116109312l,"Rastreamento ações-Gráfico diário-16h. Analise se romper:  PCAR4 99,03",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
1186,445938900583067648l,#PETR3 #PETR4 - Petrobras coloca plataforma P-58 em operação na Bacia de Campos - http://t.co/JUf4cHeFfn,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1187,449300953226039296l,"Macktrader Investimentos : Petrobrás PN (PETR4), Gráfico Diário. Ação sobe forte com volume... http://t.co/Wfe9wpT8Sz",1,0,0,0,0,1,0,0,0,1.0,0.667,0.667,1.0,3
1188,450776279848345600l,"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 18,75 (+0,54%) com volume de R$ 17,85 mm.
$LIGT3",1,0,0,0,0,0,0,0,0,0.75,0.75,0.5,1.0,4
1189,453609838778777601l,"RT @imcharliedrew: Summertime happiness
CHEGA RÁPIDO VERÃOZINHO",-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1190,460828319119048705l,@joanarauhl oi caissy,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
1191,442309457872449536l,Qdo ouço: a petr4 ta 14 mas já valeu 50! Sei q se trata de uma 'investidor' que tem fé! Ela já NEGOCIOU nos 50 reais! VALOR é outra coisa!,0,1,-2,-2,0,0,-2,-2,-1,0.667,0.333,0.667,0.333,3
1194,449180508564770816l,"PETR4 famoso: o que te fazia rir, o hoje já nem faz mais.",-2,-2,0,1,-1,-1,-2,-2,-1,0.333,0.667,0.667,0.333,3
1196,459355988244852736l,"#BBDC3 - Bradesco vê lucro subir 18% e atingir R$ 3,47 bilhões no 1º trimestre - http://t.co/rijTikh6EY",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1197,461584996340613121l,com impressionantes ... 500 #PETR4 ... (é pra despistar tio ? =P),0,0,-2,-2,0,1,0,0,-1,0.667,0.0,0.667,0.667,3
1198,464868625414123521l,#VALE5 fechou no padrão 'Chapéu de Ching Ling' http://t.co/yfH1eRYFjN,0,1,0,1,0,1,0,0,0,0.667,0.667,0.667,1.0,3
1199,453597877819146240l,RT @imcharliedrew: Podem explicar-me o que é que está a acontecer?????????????????,0,1,0,0,0,1,0,1,0,1.0,0.667,0.667,0.667,3
1200,445614551363780608l,"@ferrisss lembro que o @Fontes_ duvidou de 9,XX p/ #PETR4. Acho que hoje, ninguém mais duvida.",-2,-2,0,0,-2,-2,1,0,-1,0.0,0.667,0.333,0.667,3
1201,459362716202041344l,@Live_Trade LEMBRA DA GOLL4? isso sim é voar....,1,0,1,0,-2,-2,0,0,-1,1.0,1.0,0.0,1.0,3
1202,450938550998302720l,RT @joanarauhl: o vini é lindo,-1,-1,-2,-2,-1,-1,-1,-1,-1,0.667,0.333,0.667,0.667,3
1203,447081606529167360l,"to querendo entrar em petr4 p ver se busca 14,46 rsrsr",0,1,-2,-2,-1,-1,0,0,-1,0.5,0.25,0.5,0.5,4
1204,447512906683269120l,"#VALE5 respeitou fundo anterior.
#ToDeOLho http://t.co/CeYkLkkAd6",1,0,0,0,0,0,0,0,0,0.667,0.667,1.0,0.667,3
1205,443400222677680128l,"Ontem tinha separado enbr3, espero PB",0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
1206,451899519245230080l,"Reveses ameaçam metas de petróleo e gás da Petrobras em 2014InfoMoneyRIO DE JANEIRO - A Petrobras (PETR3, PE... http://t.co/f61nfGPwJk",0,1,0,0,1,0,0,1,0,0.667,0.667,1.0,1.0,3
1207,465354209773121536l,"@stancatiTrader professor, acha que ainda vale entrar em MPLU3, ESTC3 e BBSE3?",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1208,453149586069397504l,"@RaphaFigueredo Bom dia, aqui será que vai rolar um Long &amp, Short  Dilma X Petr4?",-2,-2,-1,-1,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
1209,443552169904832512l,"RT @SouCalmo: Jean Willas tá esperneando no TT por causa da debandada do PMDB na votação da Petr4... Espera q vem mais, ser nojento!!",0,1,0,1,-2,-2,-2,-2,-1,1.0,0.667,0.0,0.0,3
1210,441216604987068417l,"USIM5 vender por R$ 11,64 indicado em 11/02/2014 12:26 http://t.co/zJRs3Eeyz9",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
1212,449168383645585408l,$BBAS3 - Banco Do Brasil (bbas-nm)- Demonstracoes Financeiras Em Ifrs De 31/12/2013 http://t.co/SGlpEJ8TjL,1,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
1216,447040378752225280l,"Quase lá rsrsrs RT @Live_Trade: #vale5 27,34",0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1217,448801043820728320l,"Notas gerais

A CVM autorizou os controladores da OI (OIBR4) a votar na assembleia que decidirá os detalhes da... http://t.co/88kkYQZeOn",0,0,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
1218,443790938566295552l,"#king kong #petr4 fechando 60'acima 13,47, se romper 13,86 próx",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1222,456538276304662528l,"Com 'combinação perfeita' e alívio chinês, Petrobras e Vale ganham R$ 5,5 bi em valor: Com v... http://t.co/0SVCtYykeJ #infomoney #vale5",1,0,1,0,0,1,0,0,0,1.0,0.667,1.0,1.0,3
1223,444974992342933504l,então é tipo elet3 vs cambi 1,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1224,456122119462871040l,e olha a #PETR4 dando um respiro ... :),-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1225,459463290536857600l,"RT @Leidyjuana1: ♥&lt,Antes de empezar-Santiago Cruz3♥",0,0,1,0,0,0,0,0,0,0.667,0.667,1.0,1.0,3
1227,461497429637214209l,"Fibonacci na #goll4 se romper suporte de 13,80, pode devolver os ganhos dos últimos dias",0,0,0,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
1231,453163608466526208l,"@NegocioDeBolsa O prejuízo da USIM5 em 2012 foi de quase 600 bi. Logo, ela melhorou mais de 500 bi num ano p/ fechar no azul em 2013.",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
1232,443739379706523649l,#VALE5 será q hj vc irá repicar Valedita??,0,0,0,0,1,0,-2,-2,-1,0.667,1.0,0.667,0.0,3
1233,452181916918112256l,Perdas e ganhos bilionários: veja os melhores e piores setores da Bolsa no 4° tri: Segundo o... http://t.co/MdZAPviqva #infomoney #vale5,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1234,459472830531657728l,Por que u Bonde Chega i sai bem de Qual quer Lugar ! @ Morada Do Vale3 Gravatai http://t.co/rTdEvc9Izs,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1235,445933466027556864l,$PETR3 - Petrobras (petr) - Plataforma P-58 Entra Em Operacao No Parque Das Baleias http://t.co/dNibc1H21z,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
1238,456889392339386368l,"17/04/14 - 17:18: Maiores Altas: BBAS3 4,71% R$24,20, ELPL4 4,26% R$9,29, PETR3 4,04% R$15,69, PETR4 3,99% R$16,41, GGBR4 3,91% R$13,81.",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1239,445772275431006208l,"Macktrader Investimentos : Petrobrás PN (PETR4), Gráfico Semanal. Estudo das Médias Móveis x... http://t.co/hatEv1WURo",1,0,0,0,0,0,0,0,0,0.5,0.75,0.5,0.75,4
1242,443200747857903616l,"Petrobras confirma precificação de títulos de US$8,5 bilhões: SÃO PAULO, 10 Mar (Reuters) - A Petrobras PETR4.... http://t.co/KX8B34jKwN",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
1244,442774464695390208l,"Prepare-se para o próximo pregão! Assista à análise - IBOV, PETR4, VALE5, SMLE3, MGLU3, BRKM5, USIM5, RAPT4 e LIGT3. http://t.co/9ZsVeVYjAt",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1246,455473757335732224l,@Andresmoraes ESTC3 está interessante ou está esticada? http://t.co/25qvsHUXOv,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,1.0,3
1249,463389857558323200l,$VALE5 - Eike Batista's MMX Mineracao e Metalicos Joins Ibovespa Index http://t.co/h97zBtHiB0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,1.0,0.667,0.667,3
1250,459129085256822785l,"@pjcmota, http://t.co/9W1TebK96Z
Ação se valorizou de $11,84 a $16,03 desde 17/3, isto é, 35%. Fatores externos comandam preço de ações.",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
1251,467347548311916544l,"@instmillenium daí fica bem marcado que os governos levam 53%  + o imposto sobre o frete, e a Petr4 vai afundando em dívidas!",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
1253,443463536740958208l,"Rastreamento ações-Gráfico diário-16h. Analise se romper:ALLL3 7,03 BBTG11 27,21 CCRO3 16,43 ECOR3 13,03 ESTC3 22,11 GFSA3 3,29",0,0,0,0,0,0,0,0,1,0.75,0.75,0.5,0.75,4
1254,462283126946140161l,"RT @BrazilFinance: PETR4 flying like an eagle, pq será né?",0,1,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.0,0.667,3
1255,451796570628182016l,"@Live_Trade VALE5 merecendo um DT comprado, Marcos?",-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,0.667,0.667,3
1256,443084759523397632l,"PETR4 a 12,97 minha gente... fujam para as colinas.",0,1,-2,-2,-2,-2,0,1,-1,0.667,0.0,0.0,1.0,3
1257,447028425262637056l,Ativo c/ vol Financeiro Superior à sua MM21-12h: ESTC3 EURFUT RDNI3 SLED4,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,0.667,3
1258,442010362733674496l,"@HudsonPF @Live_Trade @aecioneto Vou ver as ondas na #AEDU3 , mas estou sem o candle de hj na base de dados .",-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,3
1259,445907480174792705l,Estratégia de Análise Técnica para o pregão de hoje #analisetecnica #CIEL3  http://t.co/TgcPz0VU27,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
1262,446963449541959680l,"Dilma presidente do Conselho #PETR4 Há! @SakaBrasil2 Por experiência, colocar tartaruga chiliquenta como gerente no alto do poste é prática",0,1,0,1,1,0,1,0,0,0.667,0.667,0.667,0.667,3
1263,443847177325264896l,RT @Umbiigo: A relação que eu tenho com os meus vizinhos é totalmente diferente como as que se vê nos filmes. Eu sei lá o nome da velha cox…,0,0,1,0,0,1,0,0,0,0.667,0.667,1.0,1.0,3
1265,468219380099452928l,@ferrisss @MinoritariosOGP @TraderBolsa @bussoladoinves Análise dos fundamentos de #Embraer #EMBR3 até ITR de 03/2014 http://t.co/nnLJG5AhIp,0,0,0,0,0,0,0,0,1,0.5,0.5,0.75,0.75,4
1266,449304211566886912l,"27/03 O Ibovespa fechou em alta de +3,50%, aos 49.646 pts. Destaques: ELET3 +11,05%, LLXL3 +9,78% e RSID3 +9,15%. http://t.co/j9yUOf2ipY",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1267,450978266674118656l,Bolsa: cerveja mais cara não atrapalha preços das ações da AMBEV http://t.co/gXHVYGms0Q #impostos #ABEV3 #bolsa,0,0,0,0,-2,-2,0,0,-1,0.5,0.5,0.25,0.75,4
1268,471699613733629952l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:BRPR3 18,23 CIEL3 40,57 GETI4 17,31 GOLL4 14,06 GRND3 14,88 HYPE3 18,33 IGTA3 22,36",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1269,471724373985214464l,@topBovespa ... e BBAS3 sobe 3%! Faz sentido...,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1270,453973417646358528l,$NATU3 - NATURA (NATU3) possui a marca mais valiosa da América Latina http://t.co/nhlQ8NeQX4,1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1271,444320737214484480l,Oibr4 - diário http://t.co/C7hqR0cSmY,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1272,469123041000456192l,"#PETR4 vai a R$ 17 real, sim !! Ainda não sei o dia !! Vou consultar a fita !! Fazer uma sintonia fina.",1,0,1,0,1,0,-1,-1,-1,1.0,1.0,0.667,0.667,3
1274,458697967940419585l,RT @Nelson_Andradee: Esperando pelo feriado,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
1277,446287577612832768l,Imposto sobre bebidas vai subir em Abril. O setor foi um dos escolhidos para ajudar o governo a atingir a meta fiscal em 2014. #ABEV3,-2,-2,0,1,1,0,0,0,-1,0.0,0.5,0.75,0.5,4
1278,452529580122054656l,Além da poupança: Análise e opiniões - BRFS3 e MDIA3 - http://t.co/K8mC13Fv9H,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
1279,456999572301422593l,RT @SouCalmo: “@Folhaovento: http://t.co/wf959SigT7” explica aê Gleisi... A tia ñ esclarece os próprios rolos e quer defender a Petr4/Dilma…,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
1280,453712741522755584l,"@_vale5 Te Amo Maaaaaas &lt,3",-2,-2,-2,-2,0,0,0,0,-1,0.0,0.0,0.667,0.667,3
1281,448841563880574976l,"timp3 cancelou o gatilho no semanal. IBOV no semanal fazendo um repique, cancelando todos os gatilhos, normal. Ainda tem bvmf3 e jbss3",0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,1.0,3
1282,441062415631798272l,"#BBAS3 fêz Onda 3 de fundo dia 19/02 e tem alvo de Onda 4 entre 21,00 e 22,10 , sup em 19,30 e 18,00 http://t.co/6xvCwDA8aM",1,0,1,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
1283,448116395377958912l,"IBOVESPA sobe pelo 5º dia seguido, sem a colaboração da PETR4, que cai 0,28%, VALE5, em queda de 0,73% e VALE3, -0,36%",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1286,447853936054390784l,RT @r_oliveira_: Iniesta conseguiu um pênalti tentando um drible raio-x. 1º tempo de ótimo futebol e 2º tempo de bastante discussão de arbi…,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1287,441941288464953345l,"#bisa3 olhando p/ precipício, só falta o empurrão....",0,1,0,1,0,0,1,0,0,1.0,1.0,1.0,0.667,3
1288,458807830246875138l,"#PETR4 fêz uma Onda 3 de topo na máx de 08/04/14 com alvo para uma Onda 4 entre 14,70 e 14,30 com alvo de Onda 5 entre 19,15 e 22,00",0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,1.0,3
1290,448461671942864896l,PETR4 com Merryl e Credit mega comprado!!,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
1291,471255015487991809l,$EVEN3 - Even (even-nm) - Capta R$150 Milhoes Em Operacao Estruturada http://t.co/uyfraz3XwO,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1293,458688198580137984l,"Rastreamento ações-Gráfico diário-16h. Analise se romper:GFSA3 3,81 HBOR3 7,90  HYPE3 16,54 IBOV 52344,52 ITUB4 35,77 LIGT3 19,22 MGLU3 7,19",1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1294,466631129823707137l,"Enquanto se questiona a força da bolsa brasileira, os ativos dos 2 principais bancos privados do país fazem máximas históricas #ITUB4 #BBDC4",1,0,1,0,0,1,0,0,0,0.667,1.0,0.667,0.667,3
1295,447164660005863424l,“@Nick_Cristan17: “@GirlsBooklet: http://t.co/ejepT4zV06” 🙌🙌🙌”,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
1296,445915017901527040l,"Destaques de BTC
VAGR3, BRKM5 e BBAS3
PETR4 segue bastante alugada
@ferrisss @dfittarelli @HudsonPF",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1297,446747570170527744l,"RT @stancatiTrader: A #PETR4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. Ineficiente, inflada e corrupta é qu…",0,1,0,0,0,0,1,0,0,1.0,0.667,0.667,0.667,3
