,tweet_ids,text_x,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
274,445557247364829184l,GOLL4 comprar a R$ 10.19 indicado em 17/03/2014 10:48 e finalizou a venda com resultado de R$ 0.86 ou 8.44 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
275,445557796072079360l,"LAME4 no swing acima de R$14,85 parece dar compra! Recompra de ações é mais um indicador...",-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
276,445560692998168577l,Quem fez venda de opções em fevereiro e março está rindo com os prêmios recebidos em #Petr4 e #Vale5  e acho que em vários outros papeis.,-2,-2,1,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
277,445560979867578369l,ITUB4 comprar a R$ 29.82 indicado em 17/03/2014 11:03 e finalizou a venda com resultado de R$ 0.57 ou 1.91 % http://t.co/kgt1YiTbF7,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
278,445565024912683008l,"EM TEMPO REAL: Gol dispara mais de 5%, Usiminas sobe após mais um banco indicar compra: Acom... http://t.co/YICDFnYOqK #infomoney #vale5",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
279,445577499796180993l,"INTRADAY PETR4: Suportes 12,54 e 12,66 e resistências 13,01 e 13,24 INTRADAY VALE5: Suportes 25,47 e 25,79 e resistências 26,28 e 26,45",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
280,445578794670510080l,RT @Fontes_: Quem fez venda de opções em fevereiro e março está rindo com os prêmios recebidos em #Petr4 e #Vale5  e acho que em vários out…,0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
281,445582260847534080l,"Alta da Bovespa não é total. Na tela nota-se algumas ações no vermelho, como por exemplo: GGBR4, ABRE11, SLED4, ALLL3, BISA3, USIM3, MMXM3..",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
282,445589717552492545l,#bvmf3 de olho na cp,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,0.667,3
283,445603272754466816l,já pode emitir atestado de óbito de a #PETR4 ? o.O,-2,-2,0,1,-2,-2,-2,-2,-1,0.333,0.667,0.0,0.0,3
284,445615969688616961l,"Entrando em Long&amp;Short PETR4 x PETR3 com spread de R$0,57 ! Fica a dica e quem quiser o relatorio é só pedir!",1,0,1,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
285,445620814374002688l,"@ferrisss 99% do ibov tá abaixo do preço, exceção é a #PETR4 que ainda tem chão p/ dar compra. Aquilo é um Titanic na rota do iceberg ainda.",0,0,0,0,1,0,-2,-2,-1,0.667,1.0,1.0,0.0,3
286,445626404919853056l,"CSN vai recomprar 10% de as ações em circulação, 70,2 milhões de ações. Ativo mira 10,00 em o CP a o meu ver. #CSNA3",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
287,445626997151399936l,E isso em um prazo de 1 mês. Imaginem o tamanho da força compradora? Vale entrada pra manter em carteira em curto prazo 'CP'. #CSNA3,-2,-2,0,0,1,0,0,0,-1,0.0,0.5,0.5,1.0,4
288,445642013623726081l,é ... lá vamos nós para a 10ª semana com IFR semanal de #PETR4 abaixo de 5. Já pensou como fica quem diz q só por chegar no 20 já é compra ?,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
289,445656190060883969l,#BR #BOVESPA #EMBR3 Embraer divulga aviso aos acionistas referente ao pagamento de juros sobre o capital próprio. http://t.co/9TKGW0Mube,-2,-2,-2,-2,-2,-2,-1,-1,-1,0.333,0.333,0.333,0.667,3
290,445656208997744640l,Veja as 10 ações preferidas da Socopa para comprar nesta semana: Continuam entre as recomend... http://t.co/pqQ9H0vNAL #infomoney #vale5,1,0,-2,-2,0,0,0,0,-1,0.667,0.0,0.667,1.0,3
291,445668950643589120l,P/ Amanhã Olho em Goll4 / Klbn4,1,0,0,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
292,445675449000411136l,#petr4 amanhã no primeiro sinal intra entro na compra,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,0.667,3
293,445687170125549568l,"@ppaulovagner @Fontes_ Hj a tarde recebi relatório em PDF da corretora @Citi recomendando compra de #USIM5 , fica de olho Paulo .",1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
294,445687884738494464l,"Vou no centro espírita e na volta farei análises de #PETR4 , #VALE5 , #MMXM3 , #CCXC3 , #ibovespa .",0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,0.667,3
295,445901398040141824l,Postado ontem  observo rompimento de o diário....RT @Live_Trade: P/ Amanhã Olho em Goll4 / Klbn4,-2,-2,0,1,-2,-2,-2,-2,-1,0.333,0.667,0.0,0.0,3
296,445902119414267904l,"Notas gerais SABESP (SBSP3): nível do sistema cantareira caiu para 15%, novo recorde de baixa segundo a... http://t.co/cQZeQ7P09u",0,0,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
297,445904977484316672l,$MRVE3 - Mrv (mrve-nm) - Novo Programa De Recompra De Acoes http://t.co/qxl3SJQ6yo,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
298,445910580176515074l,"Após cair 25% no ano, Petrobras perde posição no Ibovespa e é ultrapassada pelo Itaú: As açõ... http://t.co/NEq1D1xgzM #infomoney #vale5",0,1,0,1,0,0,0,1,0,1.0,0.667,0.667,0.667,3
299,445910769411293184l,"Foi lá agora é aguardar!!!! RT @Live_Trade: #vale5 26,28 o de 15 que fechar acima, cp rompimrnto",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
300,445912636501532672l,Antecipamos aqui que ITUB4 passaria PETR4 em peso em o IBOV. Hoje está saindo noticias confirmando. @ferrisss @dfittarelli,1,0,0,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
301,445913773539598336l,$BBDC3 - Bradesco (bbdc-n1)- Pagamento De Juros Sobre O Capital Proprio Mensais http://t.co/GF51kOxLRu,-1,-1,-1,-1,-1,-1,-2,-2,-1,0.667,1.0,0.667,0.333,3
302,445918844591554561l,$MRVE3 - Mrv (mrve-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/sHRYZSHees,0,0,0,0,1,0,0,0,0,1.0,1.0,0.667,0.667,3
303,445919193561432067l,#ELET3 Eletrobrás: reunião que promete http://t.co/fZKymcKhfZ via @VEJA,1,0,1,0,1,0,0,0,0,1.0,0.667,1.0,1.0,3
304,445919838213775360l,$HYPE3 - Hypermarcas (hype-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/HP72g7Zb6z,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
305,445921872178610176l,"não rompeu, não compro RT @Live_Trade: #vale5 26,28 o de 15 que fechar acima, cp rompimrnto",0,0,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
306,445922438598369280l,"#FicaDica para quem é novo e quer investir, compre ações da Petrobras #PETR4 esse valor esta muito atrativo para entrada.",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
307,445926666809122816l,"CSN boa oportunidade com o anúncio de recompra de 70,2 milhões de ações pela empresa. Valeu ficar bem de olho. #CSNA3",1,0,1,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
308,445928106705321984l,projeção de volume para a #PETR4 tá monstruosa ! Mais de 50 milhões de ações ! o.O De olhoooo !!!,-2,-2,-1,-1,0,1,0,0,-1,0.333,0.667,0.667,0.667,3
309,445931894706679808l,"INTRADAY VALE5 : Suportes 25,47 e 25,73 e resistências 26,45 e 26,91",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
310,445935426608840705l,$BBDC3 - Banco Bradesco publica Relatório Anual 2013 em novo formato http://t.co/t4O0DpIJQV,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,0.667,3
311,445935520766783488l,$BBDC4 - Banco Bradesco publica Relatório Anual 2013 em novo formato http://t.co/zRgidXiTND,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
312,445940500210925569l,OIBR4 comprar a R$ 3.43 indicado em 18/03/2014 12:11 e finalizou a venda com resultado de R$ 0.84 ou 24.49 % http://t.co/kgt1YiTbF7,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
313,445941752961040384l,OIBR4 dispara com Minoritários tentando barrar fusão com Portugal Telecom http://t.co/pYPtSzga8g,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
314,445942735087104001l,MRVE3 comprar a R$ 7.12 indicado em 18/03/2014 12:20 e finalizou a venda com resultado de R$ 0.74 ou 10.39 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
315,445952104105275392l,"#HYPE3 ficando bonita para sair da tendência de baixa, descontão fabuloso. Nos ~15,80 deve corrigir e dai vamos buscar o fundo para entrar.",1,0,1,0,1,0,0,0,0,1.0,0.667,0.667,1.0,3
316,445961619060035584l,"#VALE5 @HBMyCAP e opções é pegadinha, compra pra perder, só cai, existe um comprador ?",0,1,-2,-2,0,0,-2,-2,-1,0.667,0.333,0.667,0.333,3
317,445967525386665984l,"nova resistência por a frente de a #PETR4 ... os R$12,95~13,00 ... Vamos ver se fura ! =)",0,0,0,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
318,445973204335882241l,"#VALE5 Opção VALED30  estava a 0,08 ai apareceu um monte vendendo a 0,07 e pegadinha.",0,1,0,0,1,0,-2,-2,-1,1.0,0.667,0.667,0.333,3
319,445973479092146176l,primeiro teste de a resistência e ela foi forte e segurou. Vai de novo ? #PETR4,1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
320,445976060627521536l,"novo teste acontecendo agora ! #PETR4 R$12,95~13,00",1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
321,445976984900739072l,"América Latina Logistica, nossa Segunda indicação de ações para Março esta agitando o mercado este ano. Não perca! #alll3",1,0,0,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
322,445980531965325312l,"#petr4 a R$ 13,00, repicando os vendidos, mas essa coca é fanta!",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
323,445981754990804992l,"Sou vendedor de BRKM5. Estou analisando time, hoje ou amanhã. @ferrisss @dfittarelli @HudsonPF @JPedro_Sullivan",-2,-2,-2,-2,1,0,-1,-1,-1,0.333,0.333,0.667,0.667,3
324,445983512223830016l,MRVE3 vender a R$ 7.02 indicado em 18/03/2014 15:02 e finalizou a compra com resultado de R$ -0.10 ou -1.40 % http://t.co/kgt1YiTbF7,0,0,-2,-2,0,0,-2,-2,-1,0.667,0.333,0.667,0.333,3
325,445983742226870272l,MRFG3 comprar a R$ 3.89 indicado em 18/03/2014 15:03 e finalizou a venda com resultado de R$ 0.10 ou 2.57 % http://t.co/kgt1YiTbF7,0,1,0,1,0,1,-2,-2,-1,0.667,0.667,0.667,0.0,3
326,445985201743986688l,PETR4 disparando pra cima! Depois de meses de queda livre qualquer preço é resistencia! rsrs,-2,-2,1,0,-2,-2,0,0,-1,0.0,0.667,0.0,0.667,3
327,445988101891321856l,Analisem KROT3 que está performando o IFR multiplo conjugado com o FAD anormal para entradas - em as máximas - múltiplas em a ponta vendedora,0,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
328,445988803610951682l,JBSS3 comprar a R$ 7.57 indicado em 18/03/2014 15:23 e finalizou a venda com resultado de R$ -0.13 ou -1.72 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
329,445993566423502849l,ELPL4 comprar a R$ 7.85 indicado em 18/03/2014 15:41 e finalizou a venda com resultado de R$ -0.17 ou -2.17 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,1.0,3
330,445998715699220480l,PETR4 Petrobras repica na Bolsa e dá uma chance pra galera ganhar unzinho. Será coincidência o papel subir logo depois do exercício? Heeheh,0,1,-2,-2,0,1,0,0,-1,0.667,0.0,0.667,0.667,3
331,446010904342429696l,"@Live_Trade klbn4, aciona entrada também?",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
332,446019603823476736l,"Concórdia recomenda 15 papéis para investir ainda nessa semana, confira: Apenas uma das cart... http://t.co/0AEpn96biL #infomoney #vale5",1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
333,446040335706492930l,"@Live_Trade se nao me perdi no caminho , hoje foi , petr4, klbn4, vale5, estc3 , mmxm3 e indice! Amanha possivel a goll4, certo?",1,0,1,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
334,446064765740515328l,Olha lá a sujeira...Governo terá maioria em comissão que vai investigar a Petrobrás #PETR4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
335,446161011943669760l,“@JornalMercantil: China planeja reduzir importação de minério de ferro http://t.co/Yqyjr6Z2fB” #vale5,0,0,0,0,1,0,0,0,0,1.0,1.0,0.667,1.0,3
336,446250331123773440l,$LREN3 - Lojas Renner ( lren-nm ) - Declaracao E Pagamento De Juros Sobre O Capital Proprio http://t.co/flXNxtpbT1,0,0,0,0,-1,-1,-2,-2,-1,0.667,0.667,0.667,0.333,3
337,446250336194682880l,$BVMF3 - Bmfbovespa (bvmf-nm) - Esclarecimento Sobre Noticia Veiculada Na Midia http://t.co/dZxOwGCIDa,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
338,446266855536492544l,$MRFG3 - Marfrig (mrfg-nm) - Fato Relevante - Primeiro Aditivo Ao Acordo De Acionistas http://t.co/jBJzeY5U5V,0,0,0,0,0,1,0,1,0,0.667,1.0,0.667,0.667,3
339,446269948810510336l,Ação ex-juros hoje: LREN3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/utSF6DP4ug,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
340,446270093685948416l,Ação ex-dividendos hoje: KROT3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
341,446273334154502144l,"INTRADAY PETR4: Suportes 12,38 e 12,68 e resistências 13,16 e 13,34 INTRADAY VALE5: Suportes 25,68 e 26,11 e resistências 26,80 e 27,06",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
342,446278582575579136l,MRVE3 comprar a R$ 7.14 indicado em 19/03/2014 10:34 e finalizou a venda com resultado de R$ -0.12 ou -1.68 % http://t.co/kgt1YiTbF7,0,1,0,1,0,1,0,0,0,0.667,0.667,0.667,1.0,3
343,446301419499712514l,BBAS3 comprar a R$ 19.38 indicado em 19/03/2014 12:05 e finalizou a venda com resultado de R$ 0.71 ou 3.66 % http://t.co/kgt1YiTbF7,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
344,446305173074616320l,BRKM5 comprar a R$ 16.45 indicado em 19/03/2014 12:20 e finalizou a venda com resultado de R$ 1.37 ou 8.33 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
345,446307389328076801l,#GOLL4 - GOL negocia aliança com aéreas asiáticas - http://t.co/WLYifxc5Cc,1,0,1,0,0,0,-1,-1,-1,0.667,0.667,1.0,0.667,3
346,446313621803773953l,"PCAR P.ACUCAR-CBD ON * div||aprov 16/4/2014||dataex 17/4/2014||pagto n/d||PCAR3 R$0,5353953451||PCAR4 R$0,5889348796 http://t.co/jzFt69KGo0",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
347,446320170353844226l,"RT @dividendo_br: PCAR P.ACUCAR-CBD ON * div||aprov 16/4/2014||dataex 17/4/2014||pagto n/d||PCAR3 R$0,5353953451||PCAR4 R$0,5889348796 http…",0,0,0,0,0,0,0,0,1,0.75,0.75,0.75,0.75,4
348,446323386281496577l,"Quem crê na queda da China vai afundar junto com suas projeções, diz presidente da Vale: Pre... http://t.co/vC4FQxoti0 #infomoney #vale5",-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
349,446327698953338880l,"#vale5 olha o trade!!!! 26,26 postado na abertura",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
350,446337430824943616l,"fiquemos de olho num possivel teste na região dos R$13,30 da #PETR4 ...pode dizer muita coisa. ,)",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
351,446339121917599744l,@clubedopairico  Ibovespa nas médias. Se bobear da pra brincar de urso se o mov. da PETR4 for só uma correção. De olho! o.O,0,1,0,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
352,446344536202444800l,PETR4 comprar a R$ 13.32 indicado em 19/03/2014 14:10 e finalizou a venda com resultado de R$ 1.06 ou 7.96 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
353,446346600646848512l,"RT @felipefdeaguiar: #FicaDica para quem é novo e quer investir, compre ações de a Petrobras #PETR4 esse valor esta muito atrativo para entra…",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
354,446349257180606464l,A Petr4 sobe porque há rumor que candidatos da oposição estão ganhando terreno e não porque vão melhorar a gestão dela #EuAcreditoNoMantega,0,1,0,1,1,0,0,0,0,0.667,0.667,0.667,0.667,3
355,446349798820818944l,PETR3 comprar a R$ 12.79 indicado em 19/03/2014 14:13 e finalizou a venda com resultado de R$ 0.42 ou 3.28 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
356,446350226698539008l,MRVE3 vender a R$ 7.12 indicado em 19/03/2014 14:37 e finalizou a compra com resultado de R$ -0.02 ou -0.28 % http://t.co/kgt1YiTbF7,-2,-2,0,1,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
357,446354173010141186l,#llxl3 Tô de olho,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
358,446357823157698560l,VALE3 comprar a R$ 29.95 indicado em 19/03/2014 14:16 e finalizou a venda com resultado de R$ 2.87 ou 9.58 % http://t.co/kgt1YiTbF7,-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
359,446358680796413953l,LLXL3 comprar a R$ 0.88 indicado em 19/03/2014 15:43 e finalizou a venda com resultado de R$ 0.12 ou 13.64 % http://t.co/kgt1YiTbF7,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
360,446366101790679040l,#ELET3  Deu compra no MENSAL ... (mensagem: 952244)  http://t.co/hd86AAUwYH,0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
361,446375075651268608l,$SBSP3 - Sabesp (sbsp-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/LzkdSaXOqv,0,0,0,0,0,0,0,0,1,1.333,1.333,1.333,1.333,3
362,446389858747957248l,"Finalizando o dia com um stop loss em Usiminas (USIM5), porém com um lucro maior que 20% nessa operação de venda.... http://t.co/YRki2dGTiJ",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
363,446395248777113600l,Todos papeis postados aqui e em o Facebook deram entrada hj: Brkm5  Petr4 Winj14....fora os de ontem Goll4 e Klbn4  Show!!!!,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
364,446496889144229888l,"@edmilsonpapo10 achei, olha: PETR4,  2008,  por volta de R$ 45,00",0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,1.0,3
365,446601334377431040l,"Aos comprados em #bbas3, paciência para bom retorno em curto prazo e aos vendidos sem surpreendam! Vamos com tudo!",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
366,446607247507226625l,"#PETROBRAS #PETR4 Depois da divulgação do GOLPE aplicado contra a petroleira, vai ser difícil o papel não devolver a alta dos últimos dias.",0,1,-2,-2,1,0,1,0,-1,0.667,0.333,0.667,0.667,3
367,446612137251975168l,$CRUZ3 - Souza Cruz (cruz) - Distribuicao De Dividendo http://t.co/sVHeWwwDEQ,-2,-2,-2,-2,0,0,0,0,-1,0.0,0.0,0.667,0.667,3
368,446614183992627200l,Impeachment Dilma... Essa compra da Petr4 foi a gota dágua..,0,1,0,1,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
369,446614292822228992l,"Localiza (RENT3) autoriza pagamento de R$ 13,9 mi em juros sobre capital próprio...",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
370,446619658125582337l,"A refinaria de Pasadena q custou US$ 1,18 Bi em 2006 p/ a PETR4, hoje vale US$ 120 Mi. Um exemplo de como queimar o dinheiro dos acionistas",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
371,446628649891287040l,Ação ex-dividendos hoje: CRUZ3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
372,446638058633699328l,$RENT3 - Localiza (rent-nm) - Proposta De Dividendos Para Ago / Distribuicao De Juros Cp http://t.co/bLjTH8bSid,0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
373,446638880327229441l,"RT @dividendo_br: CRUZ SOUZA CRUZ dividendos ||aprov 19/3/2014||dataex 20/3/2014||pagto 22/4/2014||CRUZ3 R$0,53600 http://t.co/VSgnbIRjKO",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
374,446639141099294720l,"INTRADAY PETR4: Suportes 12,67 e 13,00 e resistências 13,60 e 13,87 INTRADAY VALE5: Suportes 25,92 e 26,25 e resistências 26,89 e 27,20",-2,-2,0,0,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
375,446649470361817088l,o que é mais estranho nessa puxada de hoje de a #PETR4 é ver que a corretora que lidera a compra é uma 'desconhecida' ... Estranho ... não ?,0,1,0,0,0,1,-2,-2,-1,1.0,0.667,1.0,0.333,3
376,446650483470766080l,RT @clubedopairico: o que é mais estranho nessa puxada de hoje de a #PETR4 é ver que a corretora que lidera a compra é uma 'desconhecida' ...…,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
377,446651593048719360l,A última indicação da #GFSA3 resultou em -0.31 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
378,446654363638185984l,e a projeção de volume da #PETR4 hein ? Chegou perto de romper os 100.000.000 de ações. o.O,0,0,0,0,0,1,0,0,0,0.667,1.0,1.0,1.0,3
379,446655962460749824l,"#PETR4 subindo...e os gringos na venda. Estranho não? Na compra só Bradesco, Brasil Plural, Convencão e BTG.",-2,-2,0,0,0,1,0,1,-1,0.0,0.667,0.667,0.667,3
380,446655968592805888l,A última indicação da #MRVE3 resultou em -1.25 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,1,0,1,0,1,0,0,0,0.667,0.667,0.667,0.667,3
381,446658495862292480l,"#petr4 sem medo de errar, ou essa alta marcou o fim da queda de uma década, ou é só mais um repique momentâneo. Esse ano ainda tem eleições!",-2,-2,0,0,-2,-2,-2,-2,-1,0.0,0.667,0.0,0.0,3
382,446661635747635200l,PETR4 subiu...e os alugueis tbm...hummmmmm...só gringos na venda...tem alguma coisa faltando ai!,-2,-2,-2,-2,1,0,0,1,-1,0.0,0.333,0.667,0.667,3
383,446663297103060992l,Postado há 0 dias... quem segue sabe RT @Live_Trade: #petr4 amanhã no primeiro sinal intra entro na compra,-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
384,446664865764372481l,"#cyre3 e Rsid3 cfe postado de manhã, entrada e com um bom lucro",1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
385,446666334001463296l,#GGBR4 Vale ficar de olho comparando sempre o semanal.,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
386,446669072130797568l,#BBAS3 de volta na LTA mensal http://t.co/wYmAH2b1HE,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
387,446674080851582976l,A última indicação de a #RSID3 resultou em -1.24 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
388,446682266539143169l,"CIEL3 valorizou, está entre as ações indicadas da Carteira Valor. Deve ter sido pelo projeto especial de larga demanda pra Copa. Foi genial.",1,0,1,0,-2,-2,0,0,-1,1.0,1.0,0.0,1.0,3
389,446682863627300864l,"Bancos, varejo, petróleo e siderurgia, as opiniões de um gestor sobre 4 setores: O destaque ... http://t.co/HfazYF2uc0 #infomoney #vale5",0,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
390,446694551160233985l,Virada: BBAS3 em ponto perigoso de mudança da cotação para baixo. IMA-crash alto. http://t.co/rowQqe82CN,0,0,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
391,446694812100460544l,"Cuidado com VALE5. IMA-crash da Vale está ficando muito alto.Grande chance de queda forte nos próx. 2 dias, http://t.co/j9Jxow4GS6",0,1,0,0,1,0,0,1,0,0.6,0.6,0.8,0.8,5
392,446696198293184512l,"Petr4 - Quando ha noticias ´´boas´´ acao cai.. quando aparece escandalos e outras not. nao agradeveis, sobe.. #toforaaaaa",0,1,0,0,0,1,0,0,0,0.667,0.667,1.0,0.667,3
393,446696446884990976l,Ótima postagem sobre #PETR4 por o usuário pridom em o fórum de a #ADVFN $PETR4 http:,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
394,446697240779051008l,"#PETR4 resistência em 14,00 a 14,15",0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
395,446705938536218624l,"@clubedopairico eu pisco o olho e a #PETR4  bate. R$13,90??? Que isso?!?",0,0,0,0,0,1,0,0,0,0.667,0.667,1.0,0.667,3
396,446711741431676928l,"Mercado subiu bem ontem e hoje, geou mudanças em nossas posições: stop em bvmf3, ccro3. RP em mrve3. Posições com rp ja feita continua",0,0,1,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
397,446733000026652672l,A última indicação de a #PDGR3 resultou em 11.36 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,1.0,0.667,1.0,3
398,446740477451448320l,@ferrisss Tá voltando a chover e na hora certa. Está chegando a hora de plantar mais um lote. E a #PETR4 fazendo Graça! hehehehe,0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
399,446780331870257153l,"Que coisa ! RT@ Bancotario #PETR4 @atentos R$ 14,03 !!!  14:17 hs - 20/03/2014 http://t.co/5AX97Wo7m3",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
400,446975198274002944l,"já pensou, se para abafar possível 'crise' na #PETR4 a reunião de conselho de hoje decidir por um aumento nos combustíveis ? o.O",0,1,0,0,-2,-2,0,0,-1,1.0,0.667,0.0,0.667,3
401,446975526323109888l,$CCRO3 - Ccr Sa (ccro-nm) - Fato Relevante - Assinatura Do Aditivo Do Acrodo De Acionista http://t.co/xzQyZPPbBL,0,0,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
