,ids,tweets,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
1018,446268236888158208l,"Pré-sal e pós-sal: Petrobras implanta nova plataforma A PETROBRAS (PETR4) anunciou ontem que a plataforma P-58,... http://t.co/PwbB8tIqh0",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1019,446269948810510336l,Ação ex-juros hoje: LREN3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/utSF6DP4ug,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1020,446270093685948416l,Ação ex-dividendos hoje: KROT3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
1021,446273334154502144l,"INTRADAY PETR4: Suportes 12,38 e 12,68 e resistências 13,16 e 13,34 INTRADAY VALE5: Suportes 25,68 e 26,11 e resistências 26,80 e 27,06",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
1022,446274576868450304l,@Samuel_RCX pegou klbn4? olha ela hj,-2,-2,-2,-2,-1,-1,0,0,-1,0.5,0.5,0.5,0.5,4
1023,446275451179528194l,de brinde eleitoral cada brasileiro vai ganhar 01 dentadura e 01 papelzinho da PETR4,0,1,-2,-2,0,0,1,0,-1,0.667,0.0,0.667,0.667,3
1024,446276204623302656l,@Smarttrade10 @ferrisss @dfittarelli @HudsonPF petr4 tem tx subindo também pq vai ficar ex com dividendo/JCP alto.,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
1025,446276557812678656l,O melhor da liquidação: conheça as ações descontadas que podem se valorizar muito: Todas as ... http://t.co/FuCUnb0PLP #infomoney #vale5,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1026,446277137721724929l,Eu não sabia que a refinaria americana era uma #BarcaFurada. Sei... #Petrobras sofre e que não acha Graça são os acionistas de #PETR4,0,1,0,1,0,1,1,0,0,1.0,1.0,0.667,0.667,3
1027,446278306372255744l,"Quase lá rsrsrrs RT @Live_Trade: #vale5 se chegar 26,26 me avisem",1,0,1,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
1028,446278582575579136l,MRVE3 comprar a R$ 7.14 indicado em 19/03/2014 10:34 e finalizou a venda com resultado de R$ -0.12 ou -1.68 % http://t.co/kgt1YiTbF7,0,1,0,1,0,1,0,0,0,0.667,0.667,0.667,1.0,3
1029,446279578043318272l,"@Live_Trade não, ainda tem a #PETR4 ... ,) hehehe",-1,-1,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
1030,446282720717856768l,"Quem tiver interesse em doar PETR3 ou 4 em aluguel, procurar @brunogmusa. Para PF compensa muito. Paga boa taxa! Motivo JSCP @ferrisss",0,1,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
1031,446283986005143552l,"Notas gerais O banco SANTANDER (SANB11) aprovou a planejada bonificação de ações da companhia, o que resultará... http://t.co/aMcLBRvqpd",-2,-2,-2,-2,0,0,0,0,-1,0.0,0.0,0.5,1.0,4
1032,446284610629287936l,@brunogmusa @Smarttrade10 @plima79 @ferrisss @dfittarelli @HudsonPF Credit Suisse aluga o que tiver de PETR3 com o call deles Petr4 x PETR3,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1033,446284799704330240l,"ABEV3, caindo neste instante 1,01%, com rumores de q a Receita Federal se prepara para aumentar em 1º de abril impostos s/ bebidas frias...",0,1,0,1,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1034,446285438631043072l,Goll4 comprando,-1,-1,-1,-1,0,0,0,0,-1,0.667,0.667,0.667,0.667,3
1035,446287229485600768l,"Rastreamento ações-Gráfico diário-11h. Analise se romper: BBDC4 27,45 BRML3 18,40 CTIP3 24,96",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1036,446287577612832768l,Imposto sobre bebidas vai subir em Abril. O setor foi um dos escolhidos para ajudar o governo a atingir a meta fiscal em 2014. #ABEV3,-2,-2,0,1,1,0,0,0,-1,0.0,0.5,0.75,0.5,4
1037,446287650480455680l,"Tenho lote grande de PETR4, me add no skype pf @brunogmusa @Smarttrade10 @plima79 @ferrisss @dfittarelli @HudsonPF",1,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
1038,446291581428301824l,BM&FBovespa (#BVMF3) pode vender espaços no centro de São Paulo. http://t.co/9OzooG6r5F,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1039,446296811092066304l,"Atualização do Estudo: IBOV, índice futuro, VALE5, PETR4: http://t.co/a6uhpWtnFo via @YouTube",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1040,446297814008856576l,RT @chrinvestor: Imposto sobre bebidas vai subir em Abril. O setor foi um dos escolhidos para ajudar o governo a atingir a meta fiscal em 2…,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1041,446298478462111745l,#petr4 na trave.....se confirmar compro,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1042,446299810489184256l,"Atualizando estudo gráfico do IBOV, VALE5, PETR4 e índice futuro, segundo a Geometria Comportamental... http://t.co/byInjpJh4L",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1043,446301419499712514l,BBAS3 comprar a R$ 19.38 indicado em 19/03/2014 12:05 e finalizou a venda com resultado de R$ 0.71 ou 3.66 % http://t.co/kgt1YiTbF7,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1044,446302699286724609l,"Rastreamento ações-Gráfico diário-12h. Analise se romper: BBDC4 27,66 BRML3 18,61 CTIP3 25,22 IFNC 4025,25 PSSA3 32,59 VIVT4 44,91",0,0,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
1045,446302735789752320l,Ativo c/ vol Financeiro Superior à sua MM21-12h: ECOR3 FNAM11 GUAR3 MMXM3 SCAR3,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1046,446305173074616320l,BRKM5 comprar a R$ 16.45 indicado em 19/03/2014 12:20 e finalizou a venda com resultado de R$ 1.37 ou 8.33 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1047,446307389328076801l,#GOLL4 - GOL negocia aliança com aéreas asiáticas - http://t.co/WLYifxc5Cc,1,0,1,0,0,0,-1,-1,-1,0.667,0.667,1.0,0.667,3
1048,446313621803773953l,"PCAR P.ACUCAR-CBD ON * div||aprov 16/4/2014||dataex 17/4/2014||pagto n/d||PCAR3 R$0,5353953451||PCAR4 R$0,5889348796 http://t.co/jzFt69KGo0",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1049,446315168671076352l,Dados corporativos - Arezzo (ARZZ3) e Ecorodovias (ECOR3). #VisaoAtiva http://t.co/VM96aphDPP,0,0,0,0,0,0,0,0,1,0.75,1.0,0.75,1.0,4
1050,446317788349861888l,CCRO3 gerou stop loss hoje. Em a semana 1 rp e 1 loss,0,1,-2,-2,1,0,0,1,-1,1.0,0.0,0.667,1.0,3
1051,446320170353844226l,"RT @dividendo_br: PCAR P.ACUCAR-CBD ON * div||aprov 16/4/2014||dataex 17/4/2014||pagto n/d||PCAR3 R$0,5353953451||PCAR4 R$0,5889348796 http…",0,0,0,0,0,0,0,0,1,0.75,0.75,0.75,0.75,4
1052,446323386281496577l,"Quem crê na queda da China vai afundar junto com suas projeções, diz presidente da Vale: Pre... http://t.co/vC4FQxoti0 #infomoney #vale5",-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
1053,446325820802740224l,E #klbn4 só sobe....,0,0,-1,-1,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
1054,446327698953338880l,"#vale5 olha o trade!!!! 26,26 postado na abertura",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1055,446329403510099968l,"#petr4 não é lindo? OBJ CUMPRIDO!!!! RT @Live_Trade: 13,28 no curto 5",-2,-2,1,0,0,0,0,0,-1,0.0,0.667,0.667,0.667,3
1056,446329641616564224l,voa #goll4 vai menina...,1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
1057,446329892490477568l,KROT3 Esta subindo bem na bolsa. Vamos analisar!,1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1058,446330119716892672l,"#klbn4 foguetão, quem segue sabe....",-2,-2,0,0,1,0,0,0,-1,0.0,0.667,0.667,0.667,3
1059,446333024989614080l,"Goll4 Obj1 10,93 bora criança, vamos ver se cumpre e qdo...rs  Comprado no rompimento cfe postado",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1060,446333552561364992l,"Rastreamento ações-Gráfico diário14h. Analise se romper:BBDC4 27,66 BRML3 18,61 CTIP3 25,22 IFNC 4025,25 PFRM3 17,74 PSSA3 32,59 VIVT4 44,91",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
1061,446333606416617472l,Ativo c/ vol Financeiro Superior à sua MM21-14h: ECOR3 FNAM11 MMXM3 PFRM3 POMO4 RADL3,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1062,446333972562591745l,enquanto isso #lame4 rs,0,0,-1,-1,0,0,0,0,-1,0.667,0.667,0.667,0.667,3
1063,446337430824943616l,"fiquemos de olho num possivel teste na região dos R$13,30 da #PETR4 ...pode dizer muita coisa. ,)",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1064,446337585221103617l,"Boa a recuperação de BBAS3 e BVMF3, nos últimos 2 pregões. Até PETR4 deu uma melhoradinha... que vá pelo menos a $15,00.",1,0,0,0,1,0,0,0,0,0.667,0.667,1.0,1.0,3
1065,446338005943324672l,"Antecipação do debate político gera clima de 'Fla-Flu' no mercado, diz CEO da Vale: Murilo F... http://t.co/Kjjf3dE5HM #infomoney #vale5",-2,-2,0,0,-2,-2,-2,-2,-1,0.0,0.667,0.0,0.333,3
1066,446339121917599744l,@clubedopairico  Ibovespa nas médias. Se bobear da pra brincar de urso se o mov. da PETR4 for só uma correção. De olho! o.O,0,1,0,0,1,0,0,0,0,0.667,0.667,1.0,0.667,3
1067,446339198870515712l,"#CSNA3 oscilando e segue a recompra de 70,2 milhões de ações pela própria CSN! Sempre é bom recomprar mais barato. heheh fecha em alta!",1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,1.0,3
1068,446339383189577728l,"olha os R$13,50 se aproximando na #PETR4 ! Uia ! Não esperava ver isso acontecendo hoje não ... o.O",0,0,-2,-2,0,1,0,0,-1,0.667,0.0,1.0,0.667,3
1069,446340677790863360l,"e tá lá ... R$13,50 na #PETR4 o.O",0,0,0,0,0,1,-2,-2,-1,0.5,0.5,0.5,0.0,4
1070,446341582183464960l,"PETR4 subiu em a bolsa 13,50 . Muito bem , surpreso com o resultado .",1,0,1,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
1071,446341696939249664l,#PETR4 - 15 min (mensagem: 952228)  http://t.co/B1vLUH1pAc,-1,-1,-1,-1,-2,-2,-1,-1,-1,0.667,0.667,0.333,0.667,3
1072,446341722008997888l,"#vale5 Rafael, está lá!!!! Em o Obj!!!! se segurou até aqui parabéns!!! RT @rafaelsim78: @Live_Trade qual o seu objetivo?",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1073,446342042642554880l,"Postado na abertura!!!!! RT @Live_Trade: Obj CUMPRIDO!!!!! RT @Live_Trade: #vale5 se chegar 26,26 me avisem",0,0,1,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
1074,446344536202444800l,PETR4 comprar a R$ 13.32 indicado em 19/03/2014 14:10 e finalizou a venda com resultado de R$ 1.06 ou 7.96 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1075,446346600646848512l,"RT @felipefdeaguiar: #FicaDica para quem é novo e quer investir, compre ações de a Petrobras #PETR4 esse valor esta muito atrativo para entra…",0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1076,446347773408190464l,#vale5 quem acreditou no Obj Parabéns!!!!!,1,0,1,0,0,1,0,0,0,1.0,1.0,0.667,0.667,3
1077,446349257180606464l,A Petr4 sobe porque há rumor que candidatos da oposição estão ganhando terreno e não porque vão melhorar a gestão dela #EuAcreditoNoMantega,0,1,0,1,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1078,446349798820818944l,PETR3 comprar a R$ 12.79 indicado em 19/03/2014 14:13 e finalizou a venda com resultado de R$ 0.42 ou 3.28 % http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1079,446350226698539008l,MRVE3 vender a R$ 7.12 indicado em 19/03/2014 14:37 e finalizou a compra com resultado de R$ -0.02 ou -0.28 % http://t.co/kgt1YiTbF7,-2,-2,0,1,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
1080,446350618240630784l,#PETR4 hoje com um ótimo movimento de alta! Quem aproveitou se deu muito bem hj no #daytrade!,1,0,1,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
1081,446352348189704192l,"@clubedopairico Dilma atrás e com possibilidade de perda de mandato. dólar para cima, bolsa para cima, petr4 a 22,00",0,1,0,1,0,0,0,0,0,1.0,1.0,0.667,0.667,3
1082,446352784481603584l,"pô ... já pensou se o movimento contínua e fura os R$13,30 ? Awuele shooting star no 120min da #PETR4 ficaria lindo ... ,)",1,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
1083,446353294722486272l,@clubedopairico O que o PT está fazendo para resolver a questão da petr4? nada. só um aumento na gasolina resolveria a curto prazo,0,1,0,0,0,0,1,0,0,1.0,0.667,1.0,0.667,3
1084,446354173010141186l,#llxl3 Tô de olho,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
1085,446356346938851330l,"pô, e não é que a #PETR4 tá em os R$13,30 ? =)",-2,-2,1,0,0,1,0,0,-1,0.333,0.667,0.667,0.667,3
1086,446357823157698560l,VALE3 comprar a R$ 29.95 indicado em 19/03/2014 14:16 e finalizou a venda com resultado de R$ 2.87 ou 9.58 % http://t.co/kgt1YiTbF7,-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1087,446357830069534720l,#VALE5 Opções o sistema não deixa subir kkk vai sempre entrando papel mais barato.,-2,-2,1,0,-1,-1,-1,-1,-1,0.333,0.667,0.667,1.0,3
1088,446358680796413953l,LLXL3 comprar a R$ 0.88 indicado em 19/03/2014 15:43 e finalizou a venda com resultado de R$ 0.12 ou 13.64 % http://t.co/kgt1YiTbF7,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
1089,446366101790679040l,#ELET3  Deu compra no MENSAL ... (mensagem: 952244)  http://t.co/hd86AAUwYH,0,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
1090,446369558149222400l,"@CaciqueInvest não, aviãozinho = #goll4",-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
1091,446375075651268608l,$SBSP3 - Sabesp (sbsp-nm) - Alteracao Do Calendario De Eventos Corporativos http://t.co/LzkdSaXOqv,0,0,0,0,0,0,0,0,1,1.333,1.333,1.333,1.333,3
1092,446377336146251776l,$VALE3 - Vale (vale-n1)   Ago/e   17/04/2014   11h00 http://t.co/yYZR3MNNu2,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
1093,446382689193828352l,@DuctorMarcus @piacesiramos agora a VALE5 so decepcao como ficou podre esse papel,0,1,0,1,0,0,1,0,0,1.0,1.0,0.667,0.667,3
1094,446386526197645312l,"Ações de a Eletrobras fecham c/ágio 6,14% ELET3 e 3,61% ELET6. Após o PIG dizer@dilmabr a quebrou. E n avisaram a a BOVESPA? Desconsiderados!",0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.333,0.333,0.333,3
1095,446389858747957248l,"Finalizando o dia com um stop loss em Usiminas (USIM5), porém com um lucro maior que 20% nessa operação de venda.... http://t.co/YRki2dGTiJ",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1096,446390972621279232l,Impressionante o volume de PETR4. Acho que amanhã a gringaiada toda vai fazer a farra !,-2,-2,1,0,1,0,0,0,-1,0.0,0.667,0.667,0.667,3
1097,446393924635340800l,Essa #CIEL3 não é fraca não...,0,0,-1,-1,0,0,0,0,-1,0.667,0.667,0.667,0.667,3
1098,446395248777113600l,Todos papeis postados aqui e em o Facebook deram entrada hj: Brkm5  Petr4 Winj14....fora os de ontem Goll4 e Klbn4  Show!!!!,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
1099,446399405969932288l,"Maiores Altas: LLXL3 +15,66% | ELET3 +6,14% | BBAS3 +4,59% | CESP6 +4,37% | QUAL3 +4,07%.",-2,-2,-2,-2,-2,-2,0,0,-1,0.0,0.0,0.333,0.667,3
1100,446418790340116480l,"Análises atualizadas de BVMF3, ITUB4, PDGR3, PETR4, USIM5 e VALE5 no INVISTA EM AÇÕES http://t.co/LNFxOOww7g",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1101,446419148852039680l,"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 17,45 (+3,68%) com volume de R$ 19,05 mm. $LIGT3",1,0,1,0,-2,-2,0,0,-1,1.0,0.667,0.0,1.0,3
1102,446424302104379392l,TIMP3 RT @epocanegocios: Justiça proíbe que TIM mantenha terceirizados em atividades-fim http://t.co/pfufJGug05,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1103,446424882575052800l,"Análise da Bolsa 19 março BBAS3, IBOV, PETR4, VALE5, OIBR4, HYPE3, DASA3, RADL3 http://t.co/gTy9rMNnT3",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
1104,446425973379334145l,"@sidimarcoelho de segunda ate hoje, elet3 subiu 11,4% e a elet6 6,6% ta acompanhando??? Fiquei contente pa kct, adivinha pq???",1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.0,1.0,3
1105,446440874495709185l,@Jgrafista11 LLXL3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,3
1106,446446059372695553l,Tb afirmo isso! Estou dentro de uma obra deles. @JHF_Oficial erro a Petro ser cabide de emprego @valor_economico Dilma é responsável #petr4,0,1,0,1,0,0,1,0,0,1.0,1.0,1.0,0.667,3
1107,446474837536411649l,#ToDeOlho na #QUAL3 testando topo anterior + LTB após fazer fundo mais alto que anterior. http://t.co/AEZSfBJmxA,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
1108,446481019789533187l,#ToDeOlho na #HYPE3: rompeu uma LTB (mas com volume abaixo da média). http://t.co/Vips97gaYS,0,0,0,1,-2,-2,0,1,-1,0.667,0.667,0.0,0.667,3
1109,446496889144229888l,"@edmilsonpapo10 achei, olha: PETR4,  2008,  por volta de R$ 45,00",0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,1.0,3
1110,446601334377431040l,"Aos comprados em #bbas3, paciência para bom retorno em curto prazo e aos vendidos sem surpreendam! Vamos com tudo!",1,0,1,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
1111,446607247507226625l,"#PETROBRAS #PETR4 Depois da divulgação do GOLPE aplicado contra a petroleira, vai ser difícil o papel não devolver a alta dos últimos dias.",0,1,-2,-2,1,0,1,0,-1,0.667,0.333,0.667,0.667,3
1112,446612137251975168l,$CRUZ3 - Souza Cruz (cruz) - Distribuicao De Dividendo http://t.co/sVHeWwwDEQ,-2,-2,-2,-2,0,0,0,0,-1,0.0,0.0,0.667,0.667,3
1113,446613472970047488l,Vcs sabem como o PT rebate um escândalo igual a esse da Petr4?! Ñ?! Com outro escândalo no prazo máx de 1semana #ModusOperandiPetista,0,1,0,0,1,0,1,0,0,1.0,0.667,0.667,1.0,3
1114,446614147900661760l,$RENT3 - Localiza (rent-nm) - Fato Relevante - Juros Sobre O Capital Proprio http://t.co/7dfYRMAvEm,0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,1.0,3
1115,446614183992627200l,Impeachment Dilma... Essa compra da Petr4 foi a gota dágua..,0,1,0,1,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
1116,446614292822228992l,"Localiza (RENT3) autoriza pagamento de R$ 13,9 mi em juros sobre capital próprio...",0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
1117,446619658125582337l,"A refinaria de Pasadena q custou US$ 1,18 Bi em 2006 p/ a PETR4, hoje vale US$ 120 Mi. Um exemplo de como queimar o dinheiro dos acionistas",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
1118,446621745038909440l,"#PETR4 disparou!!! foi do FUNDO de 12,57 para 13,34!!! :P :P :P BELA DISPARADA!!!",-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
1119,446628649891287040l,Ação ex-dividendos hoje: CRUZ3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
1120,446630856153923584l,"Mais ativos que monitoro hj: Cyre3, Brap4 Rsid3",-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
1121,446633580366950400l,já imaginou ver a #PETR4 voltando para baixo de os R$13 ? =),0,1,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
1122,446638058633699328l,$RENT3 - Localiza (rent-nm) - Proposta De Dividendos Para Ago / Distribuicao De Juros Cp http://t.co/bLjTH8bSid,0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
1123,446638880327229441l,"RT @dividendo_br: CRUZ SOUZA CRUZ dividendos ||aprov 19/3/2014||dataex 20/3/2014||pagto 22/4/2014||CRUZ3 R$0,53600 http://t.co/VSgnbIRjKO",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1124,446638919015477248l,"@picapautrader vc acha que vale comprar petr4 pra LP, ou isso só para os fortes? Falo em 20 a 30 anos",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,0.667,3
1125,446639141099294720l,"INTRADAY PETR4: Suportes 12,67 e 13,00 e resistências 13,60 e 13,87 INTRADAY VALE5: Suportes 25,92 e 26,25 e resistências 26,89 e 27,20",-2,-2,0,0,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
1126,446643734009360384l,#BR #BOVESPA #EMBR3 Embratel publica seus resultados financeiros anuais de 2013. http://t.co/yxneVmtM9Y,0,0,0,0,-2,-2,0,0,-1,1.0,1.0,0.333,1.0,3
1127,446644402526879744l,@Live_Trade só essa puxada marota e chapa branca da PETR4 é que tá estranha ... :),-2,-2,-2,-2,-2,-2,0,1,-1,0.333,0.333,0.333,0.667,3
1128,446645228863094784l,"@Live_Trade marcos, consegue ver para mim pf obj para csna3?",0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
1129,446646711025668096l,#rsid3 rsrsrs,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1130,446647153998721024l,"o.O e lá foi a #PETR4 ! R$13,59",-2,-2,-2,-2,0,1,0,0,-1,0.333,0.333,0.667,0.667,3
1131,446647223401844736l,"#VALE5#HOME BROKER não passa de um jogo, é programado pra perder kkk",0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.0,0.0,3
1132,446649086075469824l,"#PETR4 R$13,68 ! o.O (3 dias seguidos de arrancada já !)",1,0,1,0,0,1,0,0,0,1.0,1.0,1.0,1.0,3
1133,446649470361817088l,o que é mais estranho nessa puxada de hoje de a #PETR4 é ver que a corretora que lidera a compra é uma 'desconhecida' ... Estranho ... não ?,0,1,0,0,0,1,-2,-2,-1,1.0,0.667,1.0,0.333,3
1134,446650332391936001l,BVMF3 bateu no objetivo do Anderson agora quer ver e saber quais as operações do Anderson entre em contato: centraltrader@hotmail.com,1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
1135,446650385768677376l,BBAS3 bateu no objetivo do Anderson agora quer ver e saber quais as operações do Anderson entre em contato: centraltrader@hotmail.com,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1136,446650483470766080l,RT @clubedopairico: o que é mais estranho nessa puxada de hoje de a #PETR4 é ver que a corretora que lidera a compra é uma 'desconhecida' ...…,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
1137,446650722395103232l,"#PETR4 teve um belo volume aagora e registra alta de 3,3% no momento. Ela reverteu o ibov.",1,0,1,0,-2,-2,0,0,-1,1.0,0.667,0.0,1.0,3
1138,446651239229829120l,série D de a #PETR4 bombando,1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1139,446651593048719360l,A última indicação da #GFSA3 resultou em -0.31 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
1140,446651604310437888l,"Rastreamento ações-Gráfico diário-11h. Analise se romper:  BBDC3 29,87 BBDC4 28,00 CTIP3 25,55 MULT3 46,44",0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,1.0,3
1141,446652807991791616l,"PETR4, alta de 10% em 3 dias... rapááááz",0,0,1,0,0,1,0,0,0,0.667,1.0,1.0,1.0,3
1142,446652969019523072l,"de novo, novamente, outra vez, estão atribuindo a alta de a #PETR4 a uma melhora de a oposição em a pesquisa IBOPE ... é o 3º dia que falam isso",0,1,0,0,0,0,1,0,0,0.667,0.667,0.667,0.667,3
1143,446654363638185984l,e a projeção de volume da #PETR4 hein ? Chegou perto de romper os 100.000.000 de ações. o.O,0,0,0,0,0,1,0,0,0,0.667,1.0,1.0,1.0,3
1144,446654593817399296l,"#PETR4 : EXCLUSIVO, em @VEJA: PF prende ex-diretor da Petro em operação de lavagem de dinheiro http://t.co/3wGEVANwmT http://t.co/YHocJpiEkv",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
1145,446654795966078976l,#rsid3 adoro meu TS rsrsr,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
1146,446655455205797888l,"#VALE5 Opções compre bastante, joga seu dinheiro em opções pra virar pó kkkkk",0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1147,446655962460749824l,"#PETR4 subindo...e os gringos na venda. Estranho não? Na compra só Bradesco, Brasil Plural, Convencão e BTG.",-2,-2,0,0,0,1,0,1,-1,0.0,0.667,0.667,0.667,3
1148,446655968592805888l,A última indicação da #MRVE3 resultou em -1.25 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,1,0,1,0,1,0,0,0,0.667,0.667,0.667,0.667,3
1149,446656193583644672l,"#VALE5 Opções não vira pó, alguem fica com o dinheiro, ou vai pro lixo ?",0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1150,446656278849286144l,"Ações para comprar, esquecer e garantir sua aposentadoria: Eduardo Machado, analista da Amar... http://t.co/6AgEpHuaWW #infomoney #vale5",1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
1151,446656279574872065l,"TEMPO REAL: Petrobras, BB e Eletrobras disparam 4%, Sabesp cai 5% com Alckmin: Acompanhe aqu... http://t.co/xjtHCi6DRK #infomoney #vale5",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
